Brand,Title,Review,Product 1,Product 2,Product 3,Product 4,Product 5,Subject 4,Prior Product,Buy Again
Softsoap,Excellent!!,Great Scent and great price. Would definitely purchase..........,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54107 - Praise Product Fragrance,,Y
Softsoap,Excellent!!,Great Scent and great price. Would definitely purchase..........,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54110 - Praise Product General,,Y
Softsoap,Excellent!!,Great Scent and great price. Would definitely purchase..........,Personal Care,Liquid Hand Soaps,Softsoap Base LHS,Softsoap LHS AB White Tea & Berry Fusion,Softsoap LHS AB White Tea & Berry Fusion 50oz,54113 - Praise Product Economical,,Y
Fleecy,Assouplissant,"Excellent produit, excellente odeur, vendu en plusieurs format different",Fabric Care,Fabric Conditioners,Fleecy Fabric Conditioner,Fleecy FS Liq [2X] Fresh Air,Fleecy FS Liq Fresh Air 4.7L,54107 - Praise Product Fragrance,,
Fleecy,Assouplissant,"Excellent produit, excellente odeur, vendu en plusieurs format different",Fabric Care,Fabric Conditioners,Fleecy Fabric Conditioner,Fleecy FS Liq [2X] Fresh Air,Fleecy FS Liq Fresh Air 4.7L,54110 - Praise Product General,,
Fleecy,Assouplissant,"Excellent produit, excellente odeur, vendu en plusieurs format different",Fabric Care,Fabric Conditioners,Fleecy Fabric Conditioner,Fleecy FS Liq [2X] Fresh Air,Fleecy FS Liq Fresh Air 4.7L,54113 - Praise Product Economical,,
Fleecy,Assouplissant,"Excellent produit, excellente odeur, vendu en plusieurs format different",Fabric Care,Fabric Conditioners,Fleecy Fabric Conditioner,Fleecy FS Liq [2X] Fresh Air,Fleecy FS Liq Fresh Air 4.7L,54126 - Praise Product Softening Effect on Fabric,,
Colgate,Great Product!!,This toothpaste is the absolute best! I?ve been using it for almost a month now and I have no built up plaque and it has whitened my teeth! Highly recommend!,Oral Care,Toothpaste,Total TP,Col TP Total Plaque Pro-Release Whitening,Col TP Total Plaque Pro-Release Whitening 3.0oz,54105 - Praise Product Cleans Well,,
Colgate,Great Product!!,This toothpaste is the absolute best! I?ve been using it for almost a month now and I have no built up plaque and it has whitened my teeth! Highly recommend!,Oral Care,Toothpaste,Total TP,Col TP Total Plaque Pro-Release Whitening,Col TP Total Plaque Pro-Release Whitening 3.0oz,54124 - Praise Product Whitens Well,,
Colgate,Great Product!!,This toothpaste is the absolute best! I?ve been using it for almost a month now and I have no built up plaque and it has whitened my teeth! Highly recommend!,Oral Care,Toothpaste,Total TP,Col TP Total Plaque Pro-Release Whitening,Col TP Total Plaque Pro-Release Whitening 3.0oz,54110 - Praise Product General,,
HelloProducts,Love this tooth paste,"Quality is great, taste is good, smell and texture is like a normal toothpaste after 3 days I've notice my teeth are whiter",Oral Care,Toothpaste,hello Toothpaste,hello TP Activated Charcoal Epic Whitening FluorFree,hello activated charcoal whitening fluo free toothpaste,54106 - Praise Product Flavor,,
